Entry_ID,State Patient Number,Date Announced,Age Bracket,Gender,Detected City,Detected District,Detected State,State code,Num Cases,Current Status,Contracted from which Patient (Suspected),Notes,Source_1,Source_2,Source_3,Nationality,Type of transmission,Status Change Date,Patient Number
401689,,01/12/2020,,,,Gomati,Tripura,TR,6,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401690,,01/12/2020,,,,North Tripura,Tripura,TR,1,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401691,,01/12/2020,,,,Sipahijala,Tripura,TR,3,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401692,,01/12/2020,,,,South Tripura,Tripura,TR,3,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401693,,01/12/2020,,,,Unokoti,Tripura,TR,4,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401694,,01/12/2020,,,,West Tripura,Tripura,TR,14,Hospitalized,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401695,,01/12/2020,,,,Dhalai,Tripura,TR,1,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401696,,01/12/2020,,,,Gomati,Tripura,TR,6,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401697,,01/12/2020,,,,Khowai,Tripura,TR,1,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401698,,01/12/2020,,,,North Tripura,Tripura,TR,4,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401699,,01/12/2020,,,,Sipahijala,Tripura,TR,2,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401700,,01/12/2020,,,,South Tripura,Tripura,TR,8,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401701,,01/12/2020,,,,Unokoti,Tripura,TR,5,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401702,,01/12/2020,,,,West Tripura,Tripura,TR,7,Recovered,,,https://covid19.tripura.gov.in/Visitor/ViewStatus.aspx,https://t.me/Covid19india_Auxiliary_Test_Data/4052,,,,,
401703,,01/12/2020,,,,Aizawl,Mizoram,MZ,13,Hospitalized,,,https://twitter.com/dipr_mizoram/status/1333584179393650689,https://twitter.com/dipr_mizoram/status/1333584215221415949,,,,,
401704,,01/12/2020,,,,Lawngtlai,Mizoram,MZ,4,Hospitalized,,,https://twitter.com/dipr_mizoram/status/1333584179393650689,,,,,,
401705,,01/12/2020,,,,Champhai,Mizoram,MZ,4,Hospitalized,,,https://twitter.com/dipr_mizoram/status/1333584179393650689,,,,,,
401706,,01/12/2020,,,,Saitual,Mizoram,MZ,1,Hospitalized,,,https://twitter.com/dipr_mizoram/status/1333584179393650689,,,,,,
